CountryName,EU,Euro,Year,PurchasePower(USD)
Germany,1958,1999,2018,56689
Germany,1958,1999,2019,57530
Greece,1981,2001,1990,13279
Greece,1981,2001,1991,13985
Greece,1981,2001,1992,14294
Greece,1981,2001,1993,14315
Greece,1981,2001,1994,14838
Greece,1981,2001,1995,15395
Greece,1981,2001,1996,16110
Greece,1981,2001,1997,17150
Greece,1981,2001,1998,18033
Greece,1981,2001,1999,18465
Greece,1981,2001,2000,19525
Greece,1981,2001,2001,20964
Greece,1981,2001,2002,22616
Greece,1981,2001,2003,23872
Greece,1981,2001,2004,25439
Greece,1981,2001,2005,25578
Greece,1981,2001,2006,28511
Greece,1981,2001,2007,29285
Greece,1981,2001,2008,30856
Greece,1981,2001,2009,30381
Greece,1981,2001,2010,28172
Greece,1981,2001,2011,26141
Greece,1981,2001,2012,25284
Greece,1981,2001,2013,26098
Greece,1981,2001,2014,26838
Greece,1981,2001,2015,26895
Greece,1981,2001,2016,27826
Greece,1981,2001,2017,29234
Greece,1981,2001,2018,31467
Greece,1981,2001,2019,32506
Hungary,2004,,1990,
Hungary,2004,,1991,8305
Hungary,2004,,1992,8237
Hungary,2004,,1993,8394
Hungary,2004,,1994,8838
Hungary,2004,,1995,9170
Hungary,2004,,1996,9329
Hungary,2004,,1997,9821
Hungary,2004,,1998,10398
Hungary,2004,,1999,10873
Hungary,2004,,2000,11858
Hungary,2004,,2001,13214
Hungary,2004,,2002,14526
Hungary,2004,,2003,15465
Hungary,2004,,2004,16230
Hungary,2004,,2005,17074
Hungary,2004,,2006,18337
Hungary,2004,,2007,19041
Hungary,2004,,2008,20697
Hungary,2004,,2009,20689
Hungary,2004,,2010,21717
Hungary,2004,,2011,23000
Hungary,2004,,2012,23206
Hungary,2004,,2013,24499
Hungary,2004,,2014,25643
Hungary,2004,,2015,26777
Hungary,2004,,2016,27912
Hungary,2004,,2017,29559
Hungary,2004,,2018,32834
Hungary,2004,,2019,34966
Italy,1958,1999,1990,18593
Italy,1958,1999,1991,19504
Italy,1958,1999,1992,20101
Italy,1958,1999,1993,20389
Italy,1958,1999,1994,21268
Italy,1958,1999,1995,22341
Italy,1958,1999,1996,23002
Italy,1958,1999,1997,23868
Italy,1958,1999,1998,25020
Italy,1958,1999,1999,25602
Italy,1958,1999,2000,27084
Italy,1958,1999,2001,28046
Italy,1958,1999,2002,28737
Italy,1958,1999,2003,29167
Italy,1958,1999,2004,29530
Italy,1958,1999,2005,30131
Italy,1958,1999,2006,32410
Italy,1958,1999,2007,34100
Italy,1958,1999,2008,35523
Italy,1958,1999,2009,34628
Italy,1958,1999,2010,35185
Italy,1958,1999,2011,36598
Italy,1958,1999,2012,36486
Italy,1958,1999,2013,36315
Italy,1958,1999,2014,36195
Italy,1958,1999,2015,36899
Italy,1958,1999,2016,39927
Italy,1958,1999,2017,41714
Italy,1958,1999,2018,44472
Italy,1958,1999,2019,45723
Latvia,2004,2014,1990,
Latvia,2004,2014,1991,0
Latvia,2004,2014,1992,0
Latvia,2004,2014,1993,0
Latvia,2004,2014,1994,0
Latvia,2004,2014,1995,5501
Latvia,2004,2014,1996,5789
Latvia,2004,2014,1997,6479
Latvia,2004,2014,1998,7061
Latvia,2004,2014,1999,7398
Latvia,2004,2014,2000,8033
Latvia,2004,2014,2001,9037
Latvia,2004,2014,2002,10069
Latvia,2004,2014,2003,11028
Latvia,2004,2014,2004,12240
Latvia,2004,2014,2005,13878
Latvia,2004,2014,2006,15799
Latvia,2004,2014,2007,18185
Latvia,2004,2014,2008,19520
Latvia,2004,2014,2009,16976
Latvia,2004,2014,2010,17657
Latvia,2004,2014,2011,19879
Latvia,2004,2014,2012,21408
Latvia,2004,2014,2013,22813
Latvia,2004,2014,2014,23804
Latvia,2004,2014,2015,24961
Latvia,2004,2014,2016,26710
Latvia,2004,2014,2017,28741
Latvia,2004,2014,2018,31771
Latvia,2004,2014,2019,33021
Lithuania,2004,2015,1990,
Lithuania,2004,2015,1991,0
Lithuania,2004,2015,1992,0
Lithuania,2004,2015,1993,0
Lithuania,2004,2015,1994,0
Lithuania,2004,2015,1995,5916
Lithuania,2004,2015,1996,6370
Lithuania,2004,2015,1997,7067
Lithuania,2004,2015,1998,7762
Lithuania,2004,2015,1999,7821
Lithuania,2004,2015,2000,8450
Lithuania,2004,2015,2001,9440
Lithuania,2004,2015,2002,10481
Lithuania,2004,2015,2003,12055
Lithuania,2004,2015,2004,13020
Lithuania,2004,2015,2005,14511
Lithuania,2004,2015,2006,16462
Lithuania,2004,2015,2007,19071
Lithuania,2004,2015,2008,20721
Lithuania,2004,2015,2009,18130
Lithuania,2004,2015,2010,20112
Lithuania,2004,2015,2011,22885
Lithuania,2004,2015,2012,24704
Lithuania,2004,2015,2013,26722
Lithuania,2004,2015,2014,28184
Lithuania,2004,2015,2015,28834
Lithuania,2004,2015,2016,30925
Lithuania,2004,2015,2017,33870
Lithuania,2004,2015,2018,37493
Lithuania,2004,2015,2019,40016
Malta,2004,2008,1990,10091
Malta,2004,2008,1991,10790
Malta,2004,2008,1992,11435
Malta,2004,2008,1993,12109
Malta,2004,2008,1994,12945
Malta,2004,2008,1995,13957
Malta,2004,2008,1996,14625
Malta,2004,2008,1997,15486
Malta,2004,2008,1998,16220
Malta,2004,2008,1999,16938
Malta,2004,2008,2000,18363
Malta,2004,2008,2001,18519
Malta,2004,2008,2002,19600
Malta,2004,2008,2003,20908
Malta,2004,2008,2004,21527
Malta,2004,2008,2005,22307
Malta,2004,2008,2006,23290
Malta,2004,2008,2007,25029
Malta,2004,2008,2008,26523
Malta,2004,2008,2009,26669
Malta,2004,2008,2010,28745
Malta,2004,2008,2011,28973
Malta,2004,2008,2012,30244
Malta,2004,2008,2013,32296
Malta,2004,2008,2014,34344
Malta,2004,2008,2015,37455
Malta,2004,2008,2016,39695
Malta,2004,2008,2017,42540
Malta,2004,2008,2018,45534
Malta,2004,2008,2019,47578
Netherlands,1958,1999,1990,19129
Netherlands,1958,1999,1991,20099
Netherlands,1958,1999,1992,20750
Netherlands,1958,1999,1993,21360
Netherlands,1958,1999,1994,22327
Netherlands,1958,1999,1995,23389
Netherlands,1958,1999,1996,24455
Netherlands,1958,1999,1997,26008
Netherlands,1958,1999,1998,27708
Netherlands,1958,1999,1999,29269
Netherlands,1958,1999,2000,31885
Netherlands,1958,1999,2001,33195
Netherlands,1958,1999,2002,34447
Netherlands,1958,1999,2003,34114
Netherlands,1958,1999,2004,35780
Netherlands,1958,1999,2005,37626
Netherlands,1958,1999,2006,40959
Netherlands,1958,1999,2007,43886
Netherlands,1958,1999,2008,46420
Netherlands,1958,1999,2009,44590
Netherlands,1958,1999,2010,45078
Netherlands,1958,1999,2011,46599
Netherlands,1958,1999,2012,47272
Netherlands,1958,1999,2013,49242
Netherlands,1958,1999,2014,49233
Netherlands,1958,1999,2015,50289
Netherlands,1958,1999,2016,52288
Netherlands,1958,1999,2017,55265
Netherlands,1958,1999,2018,59728
Netherlands,1958,1999,2019,61285
OECD,,,1990,16579
OECD,,,1991,17211
OECD,,,1992,17841
OECD,,,1993,18326
OECD,,,1994,19143
OECD,,,1995,19917
OECD,,,1996,20795
OECD,,,1997,21761
OECD,,,1998,22345
OECD,,,1999,23217
OECD,,,2000,24649
OECD,,,2001,25412
OECD,,,2002,26212
OECD,,,2003,26971
OECD,,,2004,28401
OECD,,,2005,29746
OECD,,,2006,31705
OECD,,,2007,33244
OECD,,,2008,34098
OECD,,,2009,33214
OECD,,,2010,34462
OECD,,,2011,35885
OECD,,,2012,36860
OECD,,,2013,38161
OECD,,,2014,39298
OECD,,,2015,40416
OECD,,,2016,41766
OECD,,,2017,43458
OECD,,,2018,45874
OECD,,,2019,47209
Poland,2004,,1990,6170
Poland,2004,,1991,5910
Poland,2004,,1992,6178
Poland,2004,,1993,6544
Poland,2004,,1994,7023
Poland,2004,,1995,7667
Poland,2004,,1996,8258
Poland,2004,,1997,8934
Poland,2004,,1998,9487
Poland,2004,,1999,10041
Poland,2004,,2000,10677
Poland,2004,,2001,11125
Poland,2004,,2002,11804
Poland,2004,,2003,12276
Poland,2004,,2004,13343
Poland,2004,,2005,13897
Poland,2004,,2006,15132
Poland,2004,,2007,16782
Poland,2004,,2008,18303
Poland,2004,,2009,19254
Poland,2004,,2010,21089
Poland,2004,,2011,22828
Poland,2004,,2012,23746
Poland,2004,,2013,24568
Poland,2004,,2014,25476
Poland,2004,,2015,26862
Poland,2004,,2016,28322
Poland,2004,,2017,30160
Poland,2004,,2018,32988
Poland,2004,,2019,35165
Portugal,1986,1999,1990,11751
Portugal,1986,1999,1991,12709
Portugal,1986,1999,1992,13150
Portugal,1986,1999,1993,13171
Portugal,1986,1999,1994,13545
Portugal,1986,1999,1995,14372
Portugal,1986,1999,1996,14885
Portugal,1986,1999,1997,15783
Portugal,1986,1999,1998,16686
Portugal,1986,1999,1999,17718
Portugal,1986,1999,2000,18885
Portugal,1986,1999,2001,19533
Portugal,1986,1999,2002,20357
Portugal,1986,1999,2003,20830
Portugal,1986,1999,2004,21460
Portugal,1986,1999,2005,22725
Portugal,1986,1999,2006,24650
Portugal,1986,1999,2007,25702
Portugal,1986,1999,2008,26666
Portugal,1986,1999,2009,26478
Portugal,1986,1999,2010,27283
Portugal,1986,1999,2011,26770
Portugal,1986,1999,2012,26438
Portugal,1986,1999,2013,27936
Portugal,1986,1999,2014,28742
Portugal,1986,1999,2015,29661
Portugal,1986,1999,2016,31608
Portugal,1986,1999,2017,33150
Portugal,1986,1999,2018,36034
Portugal,1986,1999,2019,37918
Romania,2007,,1990,5268
Romania,2007,,1991,4784
Romania,2007,,1992,4504
Romania,2007,,1993,4688
Romania,2007,,1994,4983
Romania,2007,,1995,5416
Romania,2007,,1996,5731
Romania,2007,,1997,5562
Romania,2007,,1998,5544
Romania,2007,,1999,5596
Romania,2007,,2000,5851
Romania,2007,,2001,6521
Romania,2007,,2002,7162
Romania,2007,,2003,7552
Romania,2007,,2004,8983
Romania,2007,,2005,9602
Romania,2007,,2006,11541
Romania,2007,,2007,13683
Romania,2007,,2008,16782
Romania,2007,,2009,16644
Romania,2007,,2010,16989
Romania,2007,,2011,17896
Romania,2007,,2012,18870
Romania,2007,,2013,19782
Romania,2007,,2014,20658
Romania,2007,,2015,21606
Romania,2007,,2016,24271
Romania,2007,,2017,27231
Romania,2007,,2018,30174
Romania,2007,,2019,33340
Slovakia,2004,2009,1990,
Slovakia,2004,2009,1991,0
Slovakia,2004,2009,1992,7159
Slovakia,2004,2009,1993,7453
Slovakia,2004,2009,1994,8053
Slovakia,2004,2009,1995,8677
Slovakia,2004,2009,1996,9384
Slovakia,2004,2009,1997,10083
Slovakia,2004,2009,1998,10623
Slovakia,2004,2009,1999,10714
Slovakia,2004,2009,2000,11382
Slovakia,2004,2009,2001,12391
Slovakia,2004,2009,2002,13312
Slovakia,2004,2009,2003,14166
Slovakia,2004,2009,2004,15214
Slovakia,2004,2009,2005,16639
Slovakia,2004,2009,2006,18889
Slovakia,2004,2009,2007,21197
Slovakia,2004,2009,2008,23726
Slovakia,2004,2009,2009,23098
Slovakia,2004,2009,2010,25209
Slovakia,2004,2009,2011,26083
Slovakia,2004,2009,2012,26967
Slovakia,2004,2009,2013,28002
Slovakia,2004,2009,2014,28997
Slovakia,2004,2009,2015,29920
Slovakia,2004,2009,2016,29659
Slovakia,2004,2009,2017,30189
Slovakia,2004,2009,2018,32553
Slovakia,2004,2009,2019,33516
Slovenia,2004,2007,1990,12350
Slovenia,2004,2007,1991,11624
Slovenia,2004,2007,1992,11256
Slovenia,2004,2007,1993,11878
Slovenia,2004,2007,1994,12793
Slovenia,2004,2007,1995,13595
Slovenia,2004,2007,1996,14273
Slovenia,2004,2007,1997,15277
Slovenia,2004,2007,1998,16055
Slovenia,2004,2007,1999,17083
Slovenia,2004,2007,2000,18009
Slovenia,2004,2007,2001,18956
Slovenia,2004,2007,2002,20242
Slovenia,2004,2007,2003,21091
Slovenia,2004,2007,2004,22742
Slovenia,2004,2007,2005,23853
Slovenia,2004,2007,2006,25686
Slovenia,2004,2007,2007,27537
Slovenia,2004,2007,2008,29604
Slovenia,2004,2007,2009,27558
Slovenia,2004,2007,2010,27848
Slovenia,2004,2007,2011,28931
Slovenia,2004,2007,2012,29043
Slovenia,2004,2007,2013,29974
Slovenia,2004,2007,2014,30870
Slovenia,2004,2007,2015,31628
Slovenia,2004,2007,2016,33936
Slovenia,2004,2007,2017,36622
Slovenia,2004,2007,2018,40144
Slovenia,2004,2007,2019,42431
Spain,1986,1999,1990,13653
Spain,1986,1999,1991,14437
Spain,1986,1999,1992,14830
Spain,1986,1999,1993,14947
Spain,1986,1999,1994,15556
Spain,1986,1999,1995,16248
Spain,1986,1999,1996,16938
Spain,1986,1999,1997,17907
Spain,1986,1999,1998,19096
Spain,1986,1999,1999,19954
Spain,1986,1999,2000,21594
Spain,1986,1999,2001,22959
Spain,1986,1999,2002,24372
Spain,1986,1999,2003,25020
Spain,1986,1999,2004,26122
Spain,1986,1999,2005,27607
Spain,1986,1999,2006,30679
Spain,1986,1999,2007,32430
Spain,1986,1999,2008,33263
Spain,1986,1999,2009,32116
Spain,1986,1999,2010,31707
Spain,1986,1999,2011,31868
Spain,1986,1999,2012,31720
Spain,1986,1999,2013,32434
Spain,1986,1999,2014,33526
Spain,1986,1999,2015,34903
Spain,1986,1999,2016,37286
Spain,1986,1999,2017,39655
Spain,1986,1999,2018,42005
Spain,1986,1999,2019,43496
Sweden,1995,,1990,20376
Sweden,1995,,1991,20682
Sweden,1995,,1992,20786
Sweden,1995,,1993,20718
Sweden,1995,,1994,21836
Sweden,1995,,1995,23050
Sweden,1995,,1996,23875
Sweden,1995,,1997,24797
Sweden,1995,,1998,25887
Sweden,1995,,1999,27472
Sweden,1995,,2000,29631
Sweden,1995,,2001,29941
Sweden,1995,,2002,30927
Sweden,1995,,2003,31782
Sweden,1995,,2004,33831
Sweden,1995,,2005,34244
Sweden,1995,,2006,37680
Sweden,1995,,2007,40855
Sweden,1995,,2008,42158
Sweden,1995,,2009,40309
Sweden,1995,,2010,42256
Sweden,1995,,2011,44609
Sweden,1995,,2012,45432
Sweden,1995,,2013,46312
Sweden,1995,,2014,47185
Sweden,1995,,2015,49103
Sweden,1995,,2016,50430
Sweden,1995,,2017,52114
Sweden,1995,,2018,55243
Sweden,1995,,2019,56632
United Kingdom,1973,,1990,16992
United Kingdom,1973,,1991,17319
United Kingdom,1973,,1992,17736
United Kingdom,1973,,1993,18564
United Kingdom,1973,,1994,19640
United Kingdom,1973,,1995,20504
United Kingdom,1973,,1996,21826
United Kingdom,1973,,1997,23034
United Kingdom,1973,,1998,23636
United Kingdom,1973,,1999,24415
United Kingdom,1973,,2000,26415
United Kingdom,1973,,2001,27757
United Kingdom,1973,,2002,29069
United Kingdom,1973,,2003,30264
United Kingdom,1973,,2004,31967
United Kingdom,1973,,2005,32668
United Kingdom,1973,,2006,34757
United Kingdom,1973,,2007,35591
United Kingdom,1973,,2008,36660
United Kingdom,1973,,2009,35022
United Kingdom,1973,,2010,36371
United Kingdom,1973,,2011,37162
United Kingdom,1973,,2012,38312
United Kingdom,1973,,2013,39971
United Kingdom,1973,,2014,41266
United Kingdom,1973,,2015,42507
United Kingdom,1973,,2016,44167
United Kingdom,1973,,2017,45955
United Kingdom,1973,,2018,48691
United Kingdom,1973,,2019,49932
Albania,,,1990,2549
Albania,,,1991,1909
