LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME, Value ,Flag Codes
FRA,HHEXP,TOT,MLN_USD,A,2010,1246965.48 ,
FRA,HHEXP,TOT,MLN_USD,A,2011,1296344.39 ,
FRA,HHEXP,TOT,MLN_USD,A,2012,1303904.18 ,
FRA,HHEXP,TOT,MLN_USD,A,2013,1371760.05 ,
FRA,HHEXP,TOT,MLN_USD,A,2014,1390495.85 ,
FRA,HHEXP,TOT,MLN_USD,A,2015,1412537.16 ,
FRA,HHEXP,TOT,MLN_USD,A,2016,1493982.00 ,
FRA,HHEXP,TOT,MLN_USD,A,2017,1547944.13 ,
FRA,HHEXP,TOT,MLN_USD,A,2020,1582783.79 ,P
FRA,HHEXP,TOT,MLN_USD,A,2018,1619150.13 ,P
FRA,HHEXP,TOT,MLN_USD,A,2019,1715523.30 ,P
GBR,HHEXP,TOT,MLN_USD,A,1990,634849.32 ,E
GBR,HHEXP,TOT,MLN_USD,A,1991,657336.74 ,E
GBR,HHEXP,TOT,MLN_USD,A,1992,687362.71 ,E
GBR,HHEXP,TOT,MLN_USD,A,1993,726983.97 ,E
GBR,HHEXP,TOT,MLN_USD,A,1995,744047.08 ,
GBR,HHEXP,TOT,MLN_USD,A,1994,769733.82 ,E
GBR,HHEXP,TOT,MLN_USD,A,1996,797478.61 ,
GBR,HHEXP,TOT,MLN_USD,A,1997,859611.16 ,
GBR,HHEXP,TOT,MLN_USD,A,1998,892815.51 ,
GBR,HHEXP,TOT,MLN_USD,A,1999,930113.61 ,
GBR,HHEXP,TOT,MLN_USD,A,2000,1008001.42 ,
GBR,HHEXP,TOT,MLN_USD,A,2001,1060227.65 ,
GBR,HHEXP,TOT,MLN_USD,A,2002,1104443.95 ,
GBR,HHEXP,TOT,MLN_USD,A,2003,1143589.82 ,
GBR,HHEXP,TOT,MLN_USD,A,2004,1212325.98 ,
GBR,HHEXP,TOT,MLN_USD,A,2005,1234385.99 ,
GBR,HHEXP,TOT,MLN_USD,A,2006,1305785.47 ,
GBR,HHEXP,TOT,MLN_USD,A,2007,1343987.42 ,
GBR,HHEXP,TOT,MLN_USD,A,2009,1347743.30 ,
GBR,HHEXP,TOT,MLN_USD,A,2008,1401618.08 ,
GBR,HHEXP,TOT,MLN_USD,A,2010,1402803.14 ,
GBR,HHEXP,TOT,MLN_USD,A,2011,1446251.76 ,
GBR,HHEXP,TOT,MLN_USD,A,2012,1508581.74 ,
GBR,HHEXP,TOT,MLN_USD,A,2013,1595882.39 ,
GBR,HHEXP,TOT,MLN_USD,A,2014,1651316.09 ,
GBR,HHEXP,TOT,MLN_USD,A,2015,1714263.47 ,
GBR,HHEXP,TOT,MLN_USD,A,2020,1715894.30 ,
GBR,HHEXP,TOT,MLN_USD,A,2016,1812497.99 ,
GBR,HHEXP,TOT,MLN_USD,A,2017,1880333.40 ,
GBR,HHEXP,TOT,MLN_USD,A,2018,1953352.87 ,
GBR,HHEXP,TOT,MLN_USD,A,2019,1999850.76 ,
GRC,HHEXP,TOT,MLN_USD,A,1990,87076.12 ,E
GRC,HHEXP,TOT,MLN_USD,A,1991,92461.28 ,E
GRC,HHEXP,TOT,MLN_USD,A,1992,97501.26 ,E
GRC,HHEXP,TOT,MLN_USD,A,1993,98815.58 ,E
GRC,HHEXP,TOT,MLN_USD,A,1994,102763.69 ,E
GRC,HHEXP,TOT,MLN_USD,A,1995,106793.94 ,
GRC,HHEXP,TOT,MLN_USD,A,1996,112532.61 ,
GRC,HHEXP,TOT,MLN_USD,A,1997,118096.80 ,
GRC,HHEXP,TOT,MLN_USD,A,1998,125541.34 ,
GRC,HHEXP,TOT,MLN_USD,A,1999,128334.14 ,
GRC,HHEXP,TOT,MLN_USD,A,2000,136689.40 ,
GRC,HHEXP,TOT,MLN_USD,A,2001,146041.33 ,
GRC,HHEXP,TOT,MLN_USD,A,2002,158539.10 ,
GRC,HHEXP,TOT,MLN_USD,A,2003,164453.15 ,
GRC,HHEXP,TOT,MLN_USD,A,2004,173656.39 ,
GRC,HHEXP,TOT,MLN_USD,A,2005,181327.66 ,
GRC,HHEXP,TOT,MLN_USD,A,2012,189825.11 ,
GRC,HHEXP,TOT,MLN_USD,A,2015,193618.53 ,
GRC,HHEXP,TOT,MLN_USD,A,2013,194814.13 ,
GRC,HHEXP,TOT,MLN_USD,A,2011,195139.13 ,
GRC,HHEXP,TOT,MLN_USD,A,2006,196141.93 ,
GRC,HHEXP,TOT,MLN_USD,A,2014,196279.38 ,
GRC,HHEXP,TOT,MLN_USD,A,2016,196991.09 ,
GRC,HHEXP,TOT,MLN_USD,A,2007,204505.94 ,
GRC,HHEXP,TOT,MLN_USD,A,2017,206729.93 ,
GRC,HHEXP,TOT,MLN_USD,A,2020,213046.86 ,P
GRC,HHEXP,TOT,MLN_USD,A,2018,215422.07 ,P
GRC,HHEXP,TOT,MLN_USD,A,2009,223591.77 ,
GRC,HHEXP,TOT,MLN_USD,A,2019,224004.75 ,P
GRC,HHEXP,TOT,MLN_USD,A,2008,224744.47 ,
HUN,HHEXP,TOT,MLN_USD,A,1991,46754.67 ,E
HUN,HHEXP,TOT,MLN_USD,A,1992,48559.23 ,E
HUN,HHEXP,TOT,MLN_USD,A,1996,49985.96 ,
HUN,HHEXP,TOT,MLN_USD,A,1995,50121.60 ,
HUN,HHEXP,TOT,MLN_USD,A,1993,50572.45 ,E
HUN,HHEXP,TOT,MLN_USD,A,1997,50966.30 ,
HUN,HHEXP,TOT,MLN_USD,A,1994,51546.72 ,E
HUN,HHEXP,TOT,MLN_USD,A,1998,54102.61 ,
HUN,HHEXP,TOT,MLN_USD,A,1999,59012.20 ,
HUN,HHEXP,TOT,MLN_USD,A,2000,64166.69 ,
HUN,HHEXP,TOT,MLN_USD,A,2001,70754.43 ,
HUN,HHEXP,TOT,MLN_USD,A,2002,78428.73 ,
HUN,HHEXP,TOT,MLN_USD,A,2003,85915.53 ,
HUN,HHEXP,TOT,MLN_USD,A,2004,87737.45 ,
HUN,HHEXP,TOT,MLN_USD,A,2005,91673.92 ,
HUN,HHEXP,TOT,MLN_USD,A,2006,95744.53 ,
HUN,HHEXP,TOT,MLN_USD,A,2007,101244.53 ,
HUN,HHEXP,TOT,MLN_USD,A,2009,108044.22 ,
HUN,HHEXP,TOT,MLN_USD,A,2008,108414.72 ,
HUN,HHEXP,TOT,MLN_USD,A,2010,111425.93 ,
HUN,HHEXP,TOT,MLN_USD,A,2011,117993.40 ,
HUN,HHEXP,TOT,MLN_USD,A,2012,120422.61 ,
HUN,HHEXP,TOT,MLN_USD,A,2013,122719.50 ,
HUN,HHEXP,TOT,MLN_USD,A,2014,122955.85 ,
HUN,HHEXP,TOT,MLN_USD,A,2015,124977.69 ,
HUN,HHEXP,TOT,MLN_USD,A,2016,132726.32 ,
HUN,HHEXP,TOT,MLN_USD,A,2017,139380.65 ,
HUN,HHEXP,TOT,MLN_USD,A,2018,147312.66 ,
HUN,HHEXP,TOT,MLN_USD,A,2020,154654.83 ,P
HUN,HHEXP,TOT,MLN_USD,A,2019,156365.29 ,P
IRL,HHEXP,TOT,MLN_USD,A,1990,27196.89 ,E
IRL,HHEXP,TOT,MLN_USD,A,1991,28872.22 ,E
IRL,HHEXP,TOT,MLN_USD,A,1992,30376.54 ,E
IRL,HHEXP,TOT,MLN_USD,A,1993,31062.70 ,E
IRL,HHEXP,TOT,MLN_USD,A,1994,33372.77 ,E
IRL,HHEXP,TOT,MLN_USD,A,1995,34861.29 ,
IRL,HHEXP,TOT,MLN_USD,A,1996,38291.21 ,
IRL,HHEXP,TOT,MLN_USD,A,1997,40771.32 ,
IRL,HHEXP,TOT,MLN_USD,A,1998,44543.65 ,
IRL,HHEXP,TOT,MLN_USD,A,1999,47334.90 ,
IRL,HHEXP,TOT,MLN_USD,A,2000,53177.87 ,
IRL,HHEXP,TOT,MLN_USD,A,2001,56599.67 ,
IRL,HHEXP,TOT,MLN_USD,A,2002,60754.95 ,
IRL,HHEXP,TOT,MLN_USD,A,2003,63328.82 ,
IRL,HHEXP,TOT,MLN_USD,A,2004,67650.41 ,
IRL,HHEXP,TOT,MLN_USD,A,2005,72175.50 ,
IRL,HHEXP,TOT,MLN_USD,A,2006,81217.37 ,
IRL,HHEXP,TOT,MLN_USD,A,2009,86967.26 ,
IRL,HHEXP,TOT,MLN_USD,A,2010,90905.89 ,
IRL,HHEXP,TOT,MLN_USD,A,2007,91104.24 ,
IRL,HHEXP,TOT,MLN_USD,A,2011,92365.84 ,
IRL,HHEXP,TOT,MLN_USD,A,2012,93828.02 ,
IRL,HHEXP,TOT,MLN_USD,A,2008,94005.82 ,
IRL,HHEXP,TOT,MLN_USD,A,2013,96832.54 ,
IRL,HHEXP,TOT,MLN_USD,A,2014,99249.93 ,
IRL,HHEXP,TOT,MLN_USD,A,2015,104489.18 ,
IRL,HHEXP,TOT,MLN_USD,A,2016,112352.66 ,
IRL,HHEXP,TOT,MLN_USD,A,2020,113938.61 ,
IRL,HHEXP,TOT,MLN_USD,A,2017,115875.71 ,
IRL,HHEXP,TOT,MLN_USD,A,2018,122132.67 ,
IRL,HHEXP,TOT,MLN_USD,A,2019,126475.86 ,
ITA,HHEXP,TOT,MLN_USD,A,1990,603569.71 ,E
ITA,HHEXP,TOT,MLN_USD,A,1991,636437.75 ,E
ITA,HHEXP,TOT,MLN_USD,A,1992,667458.57 ,E
ITA,HHEXP,TOT,MLN_USD,A,1993,672034.89 ,E
ITA,HHEXP,TOT,MLN_USD,A,1994,707459.14 ,E
ITA,HHEXP,TOT,MLN_USD,A,1995,741493.06 ,
ITA,HHEXP,TOT,MLN_USD,A,1996,758948.70 ,
ITA,HHEXP,TOT,MLN_USD,A,1997,796056.82 ,
ITA,HHEXP,TOT,MLN_USD,A,1998,842963.38 ,
ITA,HHEXP,TOT,MLN_USD,A,1999,873260.25 ,
ITA,HHEXP,TOT,MLN_USD,A,2000,926312.91 ,
ITA,HHEXP,TOT,MLN_USD,A,2001,942624.91 ,
ITA,HHEXP,TOT,MLN_USD,A,2002,960903.88 ,
ITA,HHEXP,TOT,MLN_USD,A,2003,984244.35 ,
ITA,HHEXP,TOT,MLN_USD,A,2004,996360.28 ,
ITA,HHEXP,TOT,MLN_USD,A,2005,1027132.20 ,
ITA,HHEXP,TOT,MLN_USD,A,2006,1108864.94 ,
ITA,HHEXP,TOT,MLN_USD,A,2007,1166422.40 ,
ITA,HHEXP,TOT,MLN_USD,A,2009,1225451.59 ,
ITA,HHEXP,TOT,MLN_USD,A,2008,1231515.51 ,
ITA,HHEXP,TOT,MLN_USD,A,2010,1255202.96 ,
ITA,HHEXP,TOT,MLN_USD,A,2011,1316554.12 ,
ITA,HHEXP,TOT,MLN_USD,A,2012,1320093.58 ,
ITA,HHEXP,TOT,MLN_USD,A,2013,1320102.66 ,
ITA,HHEXP,TOT,MLN_USD,A,2014,1321124.50 ,
ITA,HHEXP,TOT,MLN_USD,A,2015,1349589.68 ,
ITA,HHEXP,TOT,MLN_USD,A,2020,1418138.68 ,
ITA,HHEXP,TOT,MLN_USD,A,2016,1442640.33 ,
ITA,HHEXP,TOT,MLN_USD,A,2017,1503100.19 ,
ITA,HHEXP,TOT,MLN_USD,A,2018,1553907.27 ,
ITA,HHEXP,TOT,MLN_USD,A,2019,1592702.42 ,
LTU,HHEXP,TOT,MLN_USD,A,1995,13678.94 ,
LTU,HHEXP,TOT,MLN_USD,A,1996,14681.72 ,
LTU,HHEXP,TOT,MLN_USD,A,1997,15458.13 ,
LTU,HHEXP,TOT,MLN_USD,A,1998,16815.35 ,
LTU,HHEXP,TOT,MLN_USD,A,1999,17847.76 ,
LTU,HHEXP,TOT,MLN_USD,A,2000,19128.89 ,
LTU,HHEXP,TOT,MLN_USD,A,2001,21304.41 ,
LTU,HHEXP,TOT,MLN_USD,A,2002,23095.91 ,
LTU,HHEXP,TOT,MLN_USD,A,2003,26343.53 ,
LTU,HHEXP,TOT,MLN_USD,A,2004,28446.65 ,
LTU,HHEXP,TOT,MLN_USD,A,2005,30968.54 ,
LTU,HHEXP,TOT,MLN_USD,A,2006,34422.63 ,
LTU,HHEXP,TOT,MLN_USD,A,2009,38782.85 ,
LTU,HHEXP,TOT,MLN_USD,A,2007,38884.85 ,
LTU,HHEXP,TOT,MLN_USD,A,2010,39746.14 ,
LTU,HHEXP,TOT,MLN_USD,A,2008,42786.63 ,
LTU,HHEXP,TOT,MLN_USD,A,2011,43083.59 ,
LTU,HHEXP,TOT,MLN_USD,A,2012,45715.09 ,
LTU,HHEXP,TOT,MLN_USD,A,2013,49088.47 ,
LTU,HHEXP,TOT,MLN_USD,A,2014,50990.25 ,
LTU,HHEXP,TOT,MLN_USD,A,2015,52142.19 ,
LTU,HHEXP,TOT,MLN_USD,A,2016,55736.82 ,
LTU,HHEXP,TOT,MLN_USD,A,2017,59175.05 ,
LTU,HHEXP,TOT,MLN_USD,A,2018,62456.15 ,
LTU,HHEXP,TOT,MLN_USD,A,2020,64990.25 ,
LTU,HHEXP,TOT,MLN_USD,A,2019,65343.81 ,
LVA,HHEXP,TOT,MLN_USD,A,1995,8915.46 ,
LVA,HHEXP,TOT,MLN_USD,A,1996,9612.38 ,
LVA,HHEXP,TOT,MLN_USD,A,1997,10488.45 ,
LVA,HHEXP,TOT,MLN_USD,A,1998,10786.76 ,
LVA,HHEXP,TOT,MLN_USD,A,1999,11466.45 ,
LVA,HHEXP,TOT,MLN_USD,A,2000,11834.45 ,
LVA,HHEXP,TOT,MLN_USD,A,2001,12978.86 ,
LVA,HHEXP,TOT,MLN_USD,A,2002,14240.47 ,
LVA,HHEXP,TOT,MLN_USD,A,2003,15399.38 ,
LVA,HHEXP,TOT,MLN_USD,A,2004,16872.34 ,
LVA,HHEXP,TOT,MLN_USD,A,2005,18598.35 ,
LVA,HHEXP,TOT,MLN_USD,A,2009,21537.07 ,
LVA,HHEXP,TOT,MLN_USD,A,2006,21853.62 ,
LVA,HHEXP,TOT,MLN_USD,A,2010,22986.17 ,
LVA,HHEXP,TOT,MLN_USD,A,2007,23511.60 ,
LVA,HHEXP,TOT,MLN_USD,A,2008,24048.48 ,
LVA,HHEXP,TOT,MLN_USD,A,2011,24536.15 ,
LVA,HHEXP,TOT,MLN_USD,A,2012,25941.67 ,
LVA,HHEXP,TOT,MLN_USD,A,2013,27826.89 ,
